Southwell and Nottingham (1884-)	Southwell	1884	2	5	2005	11	15	
Southwell and Nottingham (1884-)	Southwell and Nottingham	2005	11	15				
Lichfield (-)	Coventry and Lichfield				1837	1	24	
Lichfield (-)	Lichfield	1837	1	24				
Gloucester (1554-)	Gloucester	1554			1836	10	7	
Gloucester (1554-)	Gloucester and Bristol	1836	10	7	1897	7	9	
Gloucester (1554-)	Gloucester	1897	7	9				
Ripon and Leeds (1836-2014)	Ripon	1836	10	7	1999	9	3	
Ripon and Leeds (1836-2014)	Ripon and Leeds	1999	9	3	2014	4	20	
